tipo,id_supabase,curso_supabase,chave_supabase,periodo_site_meses,preco_desconto_site_R$,preco_cheio_site_R$,preco_desconto_supabase_preco_com_desconto,preco_cheio_supabase,campo_grad_ou_pos_supabase,match_catalogo,status,observacoes,url_fonte
pos,164,Lean Supply Chain e Gestão Estratégica de ComprasEAD,MBA em Logística,6,187,747.5,Lean Supply Chain e Gestão Estratégica de Compras,MBA em Logística,636,parcial(50%): MBA em Gestão Empresarial,divergente,REGISTRO_CORROMPIDO(colunas deslocadas); desconto_db=Lean Supply Chain e Gestão Estratégica de Compras_extra=636_site=187; cheio_db=MBA em Logística_site=747.5,https://mg.sumare.edu.br/pos-graduacao/ead
grad,128,Graduação - Administração,AdministraçãoEADBacharelado,8,107,356.65,107,357,GRADUACAO,exato: Administração,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,129,Graduação - Análise e Desenvolvimento de Sistemas,Análise e Desenvolvimento de SistemasEADTecnólogo,8,97,323.33,97,323,GRADUACAO,exato: Análise e Desenvolvimento de Sistemas,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,130,Graduação - Arquitetura e Urbanismo,Arquitetura e UrbanismoEADBacharelado,8,187,623.33,257,860,GRADUACAO,exato: Arquitetura e Urbanismo,divergente,desconto_db=257_extra=GRADUACAO_site=187; cheio_db=860_site=623.33,https://pr.sumare.edu.br/graduacao/ead
grad,131,Graduação - Banco de Dados,Banco de DadosEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Banco de Dados,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,132,Graduação - Biomedicina,BiomedicinaEADBacharelado,8,197,656.66,237,790,GRADUACAO,exato: Biomedicina,divergente,desconto_db=237_extra=GRADUACAO_site=197; cheio_db=790_site=656.66,https://pr.sumare.edu.br/graduacao/ead
grad,133,Graduação - Ciência da Computação,Ciência da ComputaçãoEADBacharelado,8,97,323.33,97,323,GRADUACAO,exato: Ciência da Computação,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,134,Graduação - Ciências Contábeis,Ciências ContábeisEADBacharelado,8,107,356.66,107,323,GRADUACAO,exato: Ciências Contábeis,divergente,cheio_db=323_site=356.66,https://pr.sumare.edu.br/graduacao/ead
grad,135,Graduação - Ciências econômicas,Ciências econômicasEADBacharelado,8,97,323.33,97,323,GRADUACAO,exato: Ciências Econômicas,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,136,Graduação - Educação Física - Bacharelado,Educação Física - BachareladoEADBacharelado,8,97,323.33,177,590,GRADUACAO,exato: Educação Física - Licenciatura,divergente,desconto_db=177_extra=GRADUACAO_site=97; cheio_db=590_site=323.33,https://pr.sumare.edu.br/graduacao/ead
grad,137,Graduação - Educação Física - Licenciatura,Educação Física - LicenciaturaEADLicenciatura,8,97,323.33,149,590,GRADUACAO,exato: Educação Física - Licenciatura,divergente,desconto_db=149_extra=GRADUACAO_site=97; cheio_db=590_site=323.33,https://pr.sumare.edu.br/graduacao/ead
grad,138,Graduação - Engenharia Civil,Engenharia CivilEADBacharelado,8,197,656.66,237,790,GRADUACAO,exato: Engenharia Civil,divergente,desconto_db=237_extra=GRADUACAO_site=197; cheio_db=790_site=656.66,https://pr.sumare.edu.br/graduacao/ead
grad,139,Graduação - Engenharia de Produção,Engenharia de ProduçãoEADBacharelado,8,197,656.66,237,790,GRADUACAO,exato: Engenharia de Produção,divergente,desconto_db=237_extra=GRADUACAO_site=197; cheio_db=790_site=656.66,https://pr.sumare.edu.br/graduacao/ead
grad,140,Graduação - Engenharia Elétrica,Engenharia ElétricaEADBacharelado,8,197,656.66,237,790,GRADUACAO,exato: Engenharia Elétrica,divergente,desconto_db=237_extra=GRADUACAO_site=197; cheio_db=790_site=656.66,https://pr.sumare.edu.br/graduacao/ead
grad,141,Graduação - Engenharia Mecânica,Engenharia MecânicaEADBacharelado,8,197,656.66,237,790,GRADUACAO,exato: Engenharia Mecânica,divergente,desconto_db=237_extra=GRADUACAO_site=197; cheio_db=790_site=656.66,https://pr.sumare.edu.br/graduacao/ead
grad,142,Graduação - Farmácia,FarmáciaEADBacharelado,8,187,623.33,227,757,GRADUACAO,exato: Farmácia,divergente,desconto_db=227_extra=GRADUACAO_site=187; cheio_db=757_site=623.33,https://pr.sumare.edu.br/graduacao/ead
grad,143,Graduação - Fisioterapia,FisioterapiaEADBacharelado,8,187,623.33,227,790,GRADUACAO,exato: Fisioterapia,divergente,desconto_db=227_extra=GRADUACAO_site=187; cheio_db=790_site=623.33,https://pr.sumare.edu.br/graduacao/ead
grad,144,Graduação - Gastronomia,GastronomiaEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gastronomia,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,145,Graduação - Geografia,GeografiaEADLicenciatura,8,87,290,107,357,GRADUACAO,exato: Geografia,divergente,desconto_db=107_extra=GRADUACAO_site=87; cheio_db=357_site=290,https://pr.sumare.edu.br/graduacao/ead
grad,146,Graduação - Gestão Comercial,Gestão ComercialEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gestão Comercial,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,147,Graduação - Gestão de Qualidade,Gestão de QualidadeEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gestão de Qualidade,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,148,Graduação - Gestão da Tecnologia da Informação,Gestão da Tecnologia da InformaçãoEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gestão da Tecnologia da Informação,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,149,Graduação - Recursos Humanos,Recursos HumanosEADTecnólogo,8,97,323.33,97,323,GRADUACAO,exato: Gestão de Recursos Humanos,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,150,Graduação - Gestão de Segurança Privada,Gestão de Segurança PrivadaEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gestão de Segurança Privada,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,151,Graduação - Gestão Financeira,Gestão FinanceiraEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gestão Financeira,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,152,Graduação - Gestão Pública,Gestão PúblicaEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Gestão Pública,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,153,Graduação - História,HistóriaEADLicenciatura,8,87,290,107,357,GRADUACAO,exato: História,divergente,desconto_db=107_extra=GRADUACAO_site=87; cheio_db=357_site=290,https://pr.sumare.edu.br/graduacao/ead
grad,154,Graduação - Jogos Digitais,Jogos DigitaisEADTecnólogo,8,87,290,57,290,GRADUACAO,exato: Jogos Digitais,divergente,desconto_db=57_extra=GRADUACAO_site=87,https://pr.sumare.edu.br/graduacao/ead
grad,155,Graduação - Jornalismo,JornalismoEADBacharelado,8,87,290,87,290,GRADUACAO,exato: Jornalismo,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,156,Graduação - Letras Habilitação Língua Portuguesa,Letras Habilitação Língua PortuguesaEADLicenciatura,8,87,290,107,357,GRADUACAO,exato: Letras Habilitação Língua Portuguesa,divergente,desconto_db=107_extra=GRADUACAO_site=87; cheio_db=357_site=290,https://pr.sumare.edu.br/graduacao/ead
grad,157,Graduação - Logística,LogísticaEADTecnólogo,8,97,323.33,97,323,GRADUACAO,exato: Logística,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,158,Graduação - Marketing,MarketingEADTecnólogo,8,97,323.33,97,323,GRADUACAO,exato: Marketing,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,159,Graduação - Matemática,MatemáticaEADLicenciatura,8,87,290,107,357,GRADUACAO,exato: Matemática,divergente,desconto_db=107_extra=GRADUACAO_site=87; cheio_db=357_site=290,https://pr.sumare.edu.br/graduacao/ead
grad,160,Graduação - Nutrição,NutriçãoEADBacharelado,8,197,656.66,237,790,GRADUACAO,exato: Nutrição,divergente,desconto_db=237_extra=GRADUACAO_site=197; cheio_db=790_site=656.66,https://pr.sumare.edu.br/graduacao/ead
grad,161,Graduação - Pedagogia,PedagogiaEADLicenciatura,8,97,323.33,117,390,GRADUACAO,exato: Pedagogia,divergente,desconto_db=117_extra=GRADUACAO_site=97; cheio_db=390_site=323.33,https://pr.sumare.edu.br/graduacao/ead
grad,162,Graduação - Processos Gerenciais,Processos GerenciaisEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Processos Gerenciais,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,163,Graduação - Sistemas Para Internet,Sistemas Para InternetEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Sistemas para Internet,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,164,Graduação - Publicidade e Propaganda,Publicidade e PropagandaEADBacharelado,8,87,290,87,290,GRADUACAO,exato: Publicidade e Propaganda,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,165,Graduação - Redes de Computadores,Redes de ComputadoresEADTecnólogo,8,87,290,87,290,GRADUACAO,exato: Redes de Computadores,ok,,https://pr.sumare.edu.br/graduacao/ead
grad,166,Graduação - Saneamento Ambiental,Saneamento AmbientalEADTecnólogo,8,57,190,147,490,GRADUACAO,exato: Saneamento Ambiental,divergente,desconto_db=147_extra=GRADUACAO_site=57; cheio_db=490_site=190,https://pr.sumare.edu.br/graduacao/ead
grad,167,Graduação - Superior em Serviço Social,Superior em Serviço SocialEADBacharelado,8,87,290,167,557,GRADUACAO,exato: Superior em Serviço Social,divergente,desconto_db=167_extra=GRADUACAO_site=87; cheio_db=557_site=290,https://pr.sumare.edu.br/graduacao/ead
grad,168,Graduação - Sistemas Para Internet,Sistemas de Informação,8,87,290,97,323,GRADUACAO,exato: Sistemas para Internet,divergente,desconto_db=97_extra=GRADUACAO_site=87; cheio_db=323_site=290,https://pr.sumare.edu.br/graduacao/ead
